year,cantons,costs_chf,cost_status_label,canton_code,canton_label,population,population_share_66_plus,premium_mean_monthly,premium_median_monthly,insurer_product_count,cost_per_capita,annual_premium_median,annual_premium_mean,premium_to_cost_ratio,cost_status_group,z_cost_per_capita,z_age_66_share,z_premium_median,belastungsindex,belastungsindex_rank_within_year,premium_cost_gap_z
2014,Vaud,6683509000.0,,VD,Vaud,761446,0.1526359058948369,468.45975609756096,466.9,82,8777.390648844435,5602.799999999999,5621.517073170731,0.6383218229825081,,0.31299011213334216,-1.1019081336220997,1.4820251664653321,0.1807794019897071,11.0,1.16903505433199
2014,Valais,2630285000.0,,VS,Valais,331763,0.1728372362198316,346.10489130434786,346.5,92,7928.204772684115,4158.0,4153.2586956521745,0.5244566858724435,,-0.5399829184913445,0.14203085364625279,-0.5507188115844762,-0.33806276012334824,15.0,-0.010735893093131721
2014,Zug,821639000.0,,ZG,Zug,120089,0.1515709182356419,336.60833333333335,334.4,48,6841.917244710174,4012.7999999999997,4039.3,0.586502270705261,,-1.6311150143939857,-1.1674869667444505,-0.755006204727356,-1.2729993976824676,26.0,0.8761088096666296
2014,Zürich,12288367000.0,,ZH,Zürich,1446354,0.1584646635609263,395.18543046357615,390.0,151,8496.099156914559,4680.0,4742.225165562913,0.5508410287550819,,0.030444131216593714,-0.7429902410109942,0.18370280839199127,-0.16327151115783325,14.0,0.15325867717539754
2015,Aargau,5429330000.0,,AG,Aargau,653675,0.1579194553868512,382.4127659574468,380.0,47,8305.85535625502,4560.0,4588.953191489361,0.549010283036765,,-0.31662786929048875,-0.9051932618406611,-0.26838067765740786,-0.4811356891472702,18.0,0.04824719163308089
2015,Appenzell Innerrhoden,113584000.0,,AI,Appenzell Innerrhoden,15974,0.1718417428321021,316.12558139534883,314.0,43,7110.554651308376,3768.0,3793.506976744186,0.5299164671080434,,-1.4649169128908166,-0.05670083700368142,-1.3623028697241828,-1.0167985793330176,25.0,0.1026140431666338
2015,Appenzell Ausserrhoden,470579000.0,,AR,Appenzell Ausserrhoden,54543,0.1760445886731569,343.16744186046515,342.0,43,8627.669911812698,4104.0,4118.009302325581,0.47567883819719964,,-0.007470410678862257,0.1994411851256663,-0.8982146670291873,-0.16808299602508495,13.0,-0.8907442563503251
2015,Bern,9753575000.0,,BE,Bern,1017434,0.1895258070793781,448.88514492753626,445.35,138,9586.444919277319,5344.200000000001,5386.621739130435,0.5574746472754862,,0.9135955870180028,1.0210527012097905,0.8147680382753765,0.9211258340898826,5.0,-0.09882754874262634
2015,Basel-Landschaft,2761939000.0,,BL,Basel-Landschaft,283231,0.2001828895848265,432.55058139534884,431.45,86,9751.542027532298,5177.4,5190.606976744186,0.5309314142709162,,1.0721993590686112,1.670547535467086,0.584381394794646,1.1297493209196623,2.0,-0.4878179642739652
2015,Basel-Stadt,2249920000.0,,BS,Basel-Stadt,191817,0.191943362684225,549.4290697674419,543.0,43,11729.513025435701,6516.0,6593.148837209303,0.5555217838856493,,2.9723759556791443,1.1683903873049362,2.4332756451741724,2.296405207540639,1.0,-0.5391003105049719
2015,Fribourg,2457316000.0,,FR,Fribourg,307510,0.1401938148352899,407.38154761904764,399.0,84,7991.011674417092,4788.0,4888.578571428572,0.5991731954701797,,-0.6190886214720238,-1.985480663787196,0.0465363170284819,-0.862599999541449,24.0,0.6656249385005057
2015,Genève,4707433000.0,,GE,Genève,484736,0.1557672630050171,548.1575,538.8,40,9711.333591893319,6465.599999999999,6577.89,0.6657787974040204,,1.033572337505356,-1.036358412679507,2.3636624147699226,0.7451156317660388,6.0,1.3300900772645665
2015,Glarus,371238000.0,,GL,Glarus,40028,0.1791495952833016,362.1433333333334,357.0,45,9274.45787948436,4284.0,4345.72,0.46191379115284537,,0.6138791239916166,0.3886755044239096,-0.6495959870140112,0.23044926036989752,9.0,-1.263475111005628
2015,Graubünden,1716551000.0,,GR,Graubünden,196610,0.1881796449824525,350.2503546099291,349.0,141,8730.741060983673,4188.0,4203.004255319149,0.4796843670825976,,0.0915469084062203,0.9390109859862138,-0.7821926163554385,0.12735125048980367,11.0,-0.8737395247616587
2015,Jura,705939000.0,,JU,Jura,72782,0.1876975076255118,450.28625,447.9,40,9699.362479734,5374.799999999999,5403.4349999999995,0.5541395129040894,,1.022072054040811,0.9096271726793964,0.8570332138779556,0.9470788795916728,4.0,-0.16503884016285542
2015,Luzern,3077452000.0,,LU,Luzern,398762,0.1594359542784919,366.1025925925926,363.0,135,7717.515711125935,4356.0,4393.231111111111,0.5644303378249279,,-0.881827877641183,-0.8127703875902288,-0.5501485150079408,-0.7781907899675862,21.0,0.33167936263324216
2015,Neuchâtel,1677105000.0,,NE,Neuchâtel,178107,0.1748836373640564,472.4217948717949,465.2,39,9416.277855446446,5582.4,5669.0615384615385,0.5928457173522229,,0.750121262799854,0.12868712296094942,1.1437734248287923,0.6621040613554172,8.0,0.39365216202893827
2015,Nidwalden,308102000.0,,NW,Nidwalden,42420,0.1771098538425271,323.745652173913,322.5,46,7263.130598774163,3870.0,3884.9478260869564,0.5328280893989653,,-1.3183418392990018,0.2643636650132379,-1.2214189510489162,-0.8192994659428086,22.0,0.09692288825008566
2015,Obwalden,281749000.0,,OW,Obwalden,37076,0.1632322796418168,340.1511111111111,340.0,45,7599.228611500701,4080.0,4081.8133333333335,0.5368965994555438,,-0.9954626976800282,-0.5814037155785495,-0.9313638243645441,-0.8552202847207135,23.0,0.06409887331548403
2015,St. Gallen,4113433000.0,,SG,St. Gallen,499065,0.1639565988398305,371.18985507246373,369.35,138,8242.279061845651,4432.200000000001,4454.278260869565,0.5377396187077802,,-0.37770368226446877,-0.5372601540341242,-0.4448999404681825,-0.44236968834629387,16.0,-0.06719625820371372
