year,canton,is_66_plus,population,total_population,population_share_66_plus
2019,Genève,True,78371,504128,0.15545853434048496
2019,Glarus,True,7752,40590,0.1909830007390983
2019,Graubünden,True,40732,199021,0.20466181960697616
2019,Jura,True,14753,73584,0.2004919547727767
2019,Luzern,True,69394,413120,0.1679754066615027
2019,Neuchâtel,True,32201,176496,0.18244606110053485
2019,Nidwalden,True,8457,43087,0.1962772994174577
2019,Obwalden,True,6849,37930,0.18056947007645663
2019,Ohne Angabe,True,0,0,
2019,Schaffhausen,True,16661,82348,0.2023242823140817
2019,Schweiz,True,1514990,8606033,0.17603813510824326
2019,Schwyz,True,27296,160480,0.17008973080757728
2019,Solothurn,True,51315,275247,0.18643254967356593
2019,St. Gallen,True,89025,510734,0.17430795678376612
2019,Thurgau,True,46942,279547,0.16792167327855423
2019,Ticino,True,76667,351491,0.21811938285759805
2019,Uri,True,7179,36703,0.19559709015611804
2019,Valais,True,64890,345525,0.18780117212936837
2019,Vaud,True,126156,805098,0.15669645186051884
2019,Zug,True,20721,127642,0.16233684837279266
2019,Zürich,True,247989,1539275,0.1611076643224895
2020,Aargau,True,118173,694072,0.17026043407600364
2020,Appenzell Ausserrhoden,True,10535,55309,0.19047532951237592
2020,Appenzell Innerrhoden,True,3048,16293,0.18707420364573743
2020,Basel-Landschaft,True,61637,290969,0.2118335630256144
2020,Basel-Stadt,True,36740,196735,0.18674867207156837
2020,Bern,True,209942,1043081,0.2012710422297022
2020,Fribourg,True,49365,325547,0.1516370908040928
2020,Genève,True,78438,506343,0.1549108015712669
2020,Glarus,True,7896,40851,0.19328780201219065
2020,Graubünden,True,41575,200096,0.20777526787142173
2020,Jura,True,14908,73709,0.2022548128451071
2020,Luzern,True,70847,416347,0.17016334932159954
2020,Neuchâtel,True,32313,175894,0.18370723276518813
2020,Nidwalden,True,8734,43520,0.2006893382352941
2020,Obwalden,True,7024,38108,0.18431825338511598
2020,Ohne Angabe,True,0,0,
2020,Schaffhausen,True,16950,83107,0.20395393889804708
2020,Schweiz,True,1536598,8670300,0.1772254708602932
2020,Schwyz,True,27968,162157,0.17247482378189039
2020,Solothurn,True,52330,277462,0.18860240321197136
2020,St. Gallen,True,90352,514504,0.1756099077946916
2020,Thurgau,True,48324,282909,0.17081110887246428
2020,Ticino,True,76898,350986,0.21909135976933553
2020,Uri,True,7329,36819,0.19905483581846328
2020,Valais,True,65984,348503,0.18933552939286033
2020,Vaud,True,127172,814762,0.15608484440855122
2020,Zug,True,21226,128794,0.16480581393543178
2020,Zürich,True,250890,1553423,0.16150784428967513
2021,Aargau,True,121439,703086,0.17272282480379356
2021,Appenzell Ausserrhoden,True,10746,55585,0.19332553746514347
2021,Appenzell Innerrhoden,True,3144,16360,0.1921760391198044
2021,Basel-Landschaft,True,62748,292817,0.21429083693911213
2021,Basel-Stadt,True,36663,196036,0.18702177151135504
2021,Bern,True,213560,1047422,0.20389107733081796
2021,Fribourg,True,50776,329860,0.1539319711392712
2021,Genève,True,79503,509448,0.15605714420313752
2021,Glarus,True,8052,41190,0.1954843408594319
2021,Graubünden,True,42502,201376,0.21105792150007946
2021,Jura,True,15168,73798,0.20553402531233908
2021,Luzern,True,72349,420326,0.1721259213086985
2021,Neuchâtel,True,32691,176166,0.1855692925990259
2021,Nidwalden,True,8949,43894,0.20387752312388938
2021,Obwalden,True,7221,38435,0.18787563418758943
2021,Ohne Angabe,True,0,0,
2021,Schaffhausen,True,17240,83995,0.2052503125186023
2021,Schweiz,True,1565012,8738791,0.17908793104217735
2021,Schwyz,True,28629,163689,0.1748987409050089
2021,Solothurn,True,53525,280245,0.1909935948901854
2021,St. Gallen,True,91994,519245,0.17716877389286367
2021,Thurgau,True,49820,285964,0.17421773370074556
2021,Ticino,True,78152,352181,0.22190862085121002
2021,Uri,True,7471,37047,0.20166275271951845
2021,Valais,True,67676,353209,0.19160327171731184
2021,Vaud,True,129182,822968,0.15697086642494
2021,Zug,True,21610,129787,0.16650357894088005
2021,Zürich,True,254202,1564662,0.1624644811467269
2022,Aargau,True,124702,711232,0.17533238099523082
2022,Appenzell Ausserrhoden,True,10889,55759,0.19528685952043617
2022,Appenzell Innerrhoden,True,3170,16416,0.19310428849902533
2022,Basel-Landschaft,True,63656,294417,0.21621034111481335
2022,Basel-Stadt,True,36810,196786,0.18705598975536877
2022,Bern,True,217336,1051437,0.20670377778221616
2022,Fribourg,True,52090,334465,0.15574125842763817
2022,Genève,True,80204,514114,0.15600431032805953
2022,Glarus,True,8214,41471,0.1980661184924405
2022,Graubünden,True,43318,202538,0.21387591464317807
2022,Jura,True,15401,73865,0.20850199688621132
2022,Luzern,True,73854,424851,0.1738350621747389
2022,Neuchâtel,True,33046,176571,0.1871541759405565
2022,Nidwalden,True,9211,44420,0.20736154885186853
2022,Obwalden,True,7410,38700,0.19147286821705425
2022,Ohne Angabe,True,0,0,
2022,Schaffhausen,True,17639,85214,0.20699650292205507
2022,Schweiz,True,1593142,8815385,0.18072290660022222
2022,Schwyz,True,29323,164920,0.1778013582342954
2022,Solothurn,True,54882,282408,0.19433585450837088
2022,St. Gallen,True,94287,525967,0.1792640983179553
2022,Thurgau,True,51426,289650,0.17754531330916623
2022,Ticino,True,79167,354023,0.22362106416814725
2022,Uri,True,7672,37317,0.20558994560120053
2022,Valais,True,68986,357282,0.193085573860424
2022,Vaud,True,130813,830431,0.15752422537212604
2022,Zug,True,22065,131164,0.16822451282364062
2022,Zürich,True,257571,1579967,0.16302302516444964
2023,Aargau,True,128443,726894,0.17670114211975887
2023,Appenzell Ausserrhoden,True,11201,56495,0.1982653332153288
2023,Appenzell Innerrhoden,True,3225,16585,0.19445281881217968
2023,Basel-Landschaft,True,64869,298837,0.21707151390222765
2023,Basel-Stadt,True,37165,200031,0.18579620158875373
